	0
0	Mantaap kayaknya cakep tuh panloknya hu
1	Ijin gelar tikar suhu
2	kancutkan gaann... mantap
3	Tambah hu..yang panjang
4	Wooow I love panlok, teimaksih banyak suguhannya suhu
5	Gelar tiker tggu updatean
6	gas suhu hehe
7	Ga tahan dah liat beginian 
8	Wow mulus sekali hu
9	Wow mulus sekali hu
10	Suhu makasih bgt, pas liat pantatnya mulus lagi naik turun itu rasanya pengen nerkam langsung, gemes emang panlok tuh. I'll wait for the update suhuu
11	Anjay..pantatnya mulus bgt..
12	Ijin untuk menunggu update 
13	Istimewah hu..ente memang luar biasa, lanjut update yg lebih seru dan bikin konak lg hu... .
14	mulus huu. pink2 gitu mekinya
15	Ijin gelar tiker suhu buat yg mulus
16	Masang tratak dulu
17	Thread Watched Hu..
18	Nah yang ginian yang perlu di pantengin. Ditunggu updatenya hu
19	Putih suhu 
20	Gelar tiker hu..
21	Bening
22	Pasang jangkar.. rapatkan barisan.. siap menunggu apdetan dari Suhu
23	Lanjutkan gan
24	duduk manis tunggu lanjutan dr suhu.
25	beruntung banget ente hu, jadi ngiler 
26	dapet yang begini dimana sih hu wkwkwkw
27	ijin gelar tikar hu...
28	Duduk manis
29	gelar tiker
30	Nyimak sambil minum 
31	Wah mantab, suhu comeback juga akhirnya
32	Mantao nih
33	nitipin sendal dimari..
34	Uwuuu wagelaseh
35	Ikut gelar tiker
36	camp here my friend...
37	Wah si om subes SSI keliatannya.
38	Mekinya merah banged waduh jadi pengen
39	wah ini yg sampe ke negeri singa ya eksenya? dulu sih vidnya waktu blm kawin. hahaha
40	waw merah muda 
41	Ajibbb.... ayo hu apdet nya ditunggu.....
42	Pasti itundalam meki ada vaccum cleaner nya.. bs nyedot2... berkah buat ente suhuu
43	Bersih bener Om ..
44	wah kayaknya tau nih panlok wot
45	ebujug suhu...mantabh keren ini panlok nya...ijin gelar tiker suhu...
46	Joss hu mulus
47	Kerennnnn huffttt
48	Lhoo, manteb tenan suhu. Moga langgeng 
49	mantap suhuu
50	bokongnya ajib nih gamm
51	Ditunggu gamger lanjutannya hu.. 
52	ruesik ini pantat
53	Enak bgt tuh semok bin legit
54	Beeeehhhh kelaaaassssssss !!!! Manteeep pisan euy
55	Mangap suhu,. Bener2 mangap,. Berkelas,. Lanjuuuttttt
56	ijin ke tkp suhu
57	Berlekas suhu. Salam kenal ane bocah dari selatan jakarta
58	ini kalo ga lanjut sayang banget hu
59	Ijinnnn mantaaauu mantep banget ni
60	mantapppp...mulus bgt panloknya hu, cantik nie kayaknya
61	ancuuuur mulus bener suhu lanjut lanjut hehehe
62	Lancrotkaaaann huuu! Ane pensiun jadi SR sejak tau trit beginian 
63	Di tunggu lanjutannya suhu mantap
64	Lanjutkan perjuanganmu kisanak
65	Mantappppp huu
66	Sedap sekali hu
67	Selama ini silent reader.
68	Busettt putih bener gak sabar suhu tunggu lanjutannya
69	Enak ini hu buat bacol
70	mantab banget cewenya suhu
71	enak bgt croot nya niiihh
72	bening amat
73	Gila itu mekinya hu .... pinky banget dalemannya 
74	Serius gan ini kisah nyata ente??ga tau ane yg dejavu apa gmn yh.. tp kyny uda pernah liat nh dulu..mangap kalo ane salahh..
75	Izin nangkring gan.. updatenya jgn lama2 dong.. 
76	Calon trit legend ini mah
77	ayo suhu diupdate
78	Lu orang lanciao hokky suhu . Bisa dapet memek mulus kek gt 
79	Kasih watermark aja hu biar ga ada yg nyolong
80	Akhirnya bisa lihat video ini lagi....ane inget gan.....update lagi gan.....
81	Mantap hu panlok, 
82	Ngikut ndirikan tenda
83	Mantap...
84	Update lagi suhu.. penasaran euy
85	Emang andalannn
86	Ane rela dech pindah agama skalian, asalkan bisa nikah sama yang begini.. Dari pada gk pernah ngerasain yang beginian..
87	Musti gelar karpet nh
88	Nunggu update huuuu. Lannjutkan
89	Mantep hu lanjutkan cantik ttmnya
90	Demi apa ketemu gambar gerak ini lagi 
91	Bikin tenda dulu hehehe
92	Panlok emank plg mantep yh.
93	Luar biasa...lanjut suhu
94	Ijin nitip sandal huu
95	wah cantik abis hu
96	gils sih ini
97	Cantik bener ya hu Panlok nya. Pasti mekinya juga mulus tu
98	ijin gelar tikeer yaa
99	waw ajib nih lancrotkan gan
100	Lanctooooooootkan
101	Lanjutkan suhu
102	Mantaaaabbb suhuu
103	No sensor keren hu, salut
104	Hanya satu kata ..... WOW....
105	Lanjut hu.. jangan kaaih kendor
106	Di tunggu update nya hu
107	Yang punya karya terbaik pasti diterima disni kok om amin hehehe
108	Ditunggu updatenya hu 
109	mulussssss
110	Harus turun neh buat nungguin apdet hihihi
111	anjir memeknya mantep banget 
112	kalo request wot ngelanggar rule ngga hu? 
113	Wuihhhhh sembah sujud huuu
114	Mohon di segerakan suhu part 2 nya
115	Suhu yg beruntubg sekali
116	wah bagus banget mahluk halusnya hu. apalagi videonya zoom gini suka
117	Muluus tuh dan pink kayaknyaa
118	Lanjutkan suhu durasi lebih panjang
119	Lanjutkan suhu durasi lebih panjang
120	Update Suhuku
121	ga rugi ya liat smpe akhir hehe, update lg hu mantap gile 
122	Ditunggu lanjutanya hu
123	di tunggu huuuuuu lanjutannya ..... tanggung ,masihh penasarannnnnn huuuu
124	akhirnya........
125	Wah akhirnya gembok dibuka
126	Lanjut Suhu. 
127	Ikut gelar tenda hu,, menanti update
128	Ane pernah liat videonya nih hehe..dr jaman forum sebelah . Kalo TS bener suhu yg dr sebelah...ya welcome abroad 
129	emang beda kalo kelas atas mah
130	Lanjutkan suhu mantap sekali
131	Sukses teruuss suhuu
132	Gelar tikar hu
133	Ijin nenda dimari suhu...sambil nunggu update selanjutnya
134	Update huu
135	Rumput tetangga lebih hijau
136	Update lagi hu...
137	wah baru tau saya ternyata begituu hmm
138	Wah, thread yang wajib di gelar tikar ini. Updatenya di tunggu hu~
139	Ijin nyimak suhu
140	manteb bener huuuu merah benerrr memeknya hahaha
141	Cantik bgt hu
142	Ditunggu update nya suhu..
143	Haduuuh..sempit, mohon dilanjut suhu
144	Mantap luar biasa sangat
145	Update huuu
146	Lancrotkan huuuu
147	menunggu lanjutan nya huu
148	Mantap suhu
149	Wahh wajib update ini
150	Ijin ninggalin sempak hu
151	Lanjutannya suhu. Penasaarn
152	Keren buangettt...
153	wajib update dan dilestarikan ditunggu kelanjutannya suhu
154	Anak bawang nih
155	Izin ngejejak hu
156	Welcome back hu. Ini dejavu sama wot nya. Aseli dah ane inget. Ditunggu reupload nya hu 
157	Duduk manis dlu di mari sambil ngopi2 menikmati hidangan om 
158	TSADESSSS
159	wooow mulusnya dan cantk dengan rambut panjang bergerai
160	Maaf suhu tolong di updste karna ssaya ga kuat mau coli
161	Update huuuuu mantap
162	Tampak depan hu
163	menarik untuk dipantengin nih..ijin parkir suhuuuu
164	izin gelar tiker huuu thread legend nih..dlu sempet punya vidionya
165	Izin newbi menikmati hasil suhuu
166	Lanjutkan binornya
167	Ijin mantengin huu
168	Titip sempak dimari yaa om
169	Ceweknya cantik hu
170	Numpang jemur tikar ya...
171	Waah mantap nih panlok
172	Yg ky gini nih,walau cm jd pemuas nafsu doang mlahan enak hu, apalagi panlokny mulus n bikin betah di kekepin..hihihi
173	We want more......
174	mantap suhu, wajib update nih
175	Ditunggu upadetenya gan.
176	Pink mekinya....mulus panlok nya...rambut panjang...sensasi nya bikiiin horny banget.
177	Ts nya mana yaa
178	Ijin Gelar Tenda ini mah.... Meki merah, kulit mulus, bokong semox, cakep....
179	Dinanti kelanjutannya
180	Mantep huu Keren
181	Udah jadi binor, bisa makin bebas dong hu.Hahaha
182	Nih bakal thread SUPER HOT. Mantab story nya, lg mantab video ekse si panlok. Bikin ane crots ampe kering suhu. Ane kasihin 10 jempol! Makasih berat suhu. 
183	Ini thread berkualitas bangetttt... TOP gilaaaaaa
184	harus dilestarikan :?
185	keren om lanjutkan
186	Judulnya cinta terhalang restu hu xixixi
187	mantab nih.. tapi ada update an nya gak?
188	manteb bener boss panlok nya ttm nya binor nya
189	Mantep suhu
190	iziiin liat suhu
191	suhu besar mohon diupdate dong...
192	Istimewa hu nice share
193	belum update yah suhu..?
194	menunggu update nih suhu
195	keep update huu, nguaceng polll
196	bening bner suhu.
197	Suedep hu pink mulus
198	dari judul aja udah menggugah selera 
199	Mana huuu. . lanjutannya.. ..dh ngaceng ni.... merah amat mekinya huu
200	Up huuu, mantap bener barangnya
201	sedaap suhu
202	Mantap suhu
203	yoi lanjutkan huuu teasernya ajibbb
204	up up up up up, butuh bacol baru ane
205	lama bnget gk ada updateny? udah gt aja ya.. kasih critanya jg yg lengkap dg.. btw thread lamanya dmn?
206	Wa gabisa nih hu, gabisa berenti sampe sini, harus dilanjut
207	Selamat sore suhu.
208	mantep TOnya hu,,, berharap sharable
209	Wajib d pantengin ini suhii
210	TOnya cantik 
211	Lanjutkan subes...top markotob
212	Lanjutkan hu
213	Wah muantepp itu pantatnye cihuyyy....update lg gan
214	luar biasa, serasa dapet durian runtuh..
215	lanjutkan hu
216	Uppp Tambahh dong
217	MantepM ijin jejakj
218	Ijin gelar tiker
219	Keberuntungan yang sangat besar
220	Nitip sendal suhu boleh ya..
221	wuihh... gurih nih
222	hu bagi dung panloknya
223	Lanjutkan Suhu
224	wah ini nih masih inget.. one of the best.. keep update hu
225	perlu diapresiasi trit mantap suhuu ini
226	bikin penasaran.. dipantau terus ya....tq updatenya suhu
227	Wahh wahh ente ya hu, KETERLALUAN!! Nubie subuh2 jadi ga bisa tidur gara2 liat tuh cece CKCKCKCK!
228	Jajak hu... Bagus kayaknya
229	mantap banget hu
230	Juara hu ijin mantauu
231	Mantappp.. 
232	ijin meninggalkan jejak om, ane demen panlok ginian
233	Ikut nongkrong suhu... Itu meki mulus pink dabest
234	Wahhhh sedap bgt dah
235	Anjinglah hoki abis hu dapet panlok yg cinta mati
236	Barang bagus suhu
237	Masih menunggu sajian berikut ny 
238	Mantab suhu lanjut
239	Lanjuuuuut gan
240	Mantap ajaib suhu....lanjutkanlagi suhu...
241	mantap suhuuu , ane titip jejak yaaa
242	mantap hu,sekilas penampakan di detik2 terakhirnya sepertinya cakep nih amoynya
243	Suhuu 
244	Ijin nongkrong hu
245	Wah asli mulus hu beruntung bgt bisa dapet jatah mantan, btw dia udah punya anak hu? Kalo update cerita soal dia tambahin ya hu hehe
246	Nunggu part selanjutnya hehe
247	Hu lanjutannya mana yak? 
248	SEGER BANGET HUU...
249	Nyeeeeeeeeeem.........
250	Pas nubi gabung..pas bgt ada yg gurih...jd inget..gf nubi panlok..jg..sayang lom jaman hape kamera..
251	hhmmmm enaaak beneeer
252	kayaknya pernah liat videonya hu, semangat ya hu untuk membangun reputasinya hu haha
253	Selalu suka model cerita yg begini...hmmm...munatab hu....pasti ditunggu updatannya....thanks udh share hu.
254	Mantap nih Huuuu
255	Gila panlok lo cakep banget suhu!
256	Goyang terus hu
257	Ts nya aktivis kah? Kok hilang bagai diculik aparat
258	We want more suhu
259	Aihhh mulusnya itu belahan pantat
260	bakal trit legendaris ini..
261	2 jempolll
262	suhu mantap banget
263	Mantab suhu
264	Mantep body goals bener tuh panlok. Lanjutin hu
265	Mantep body goals bener tuh panlok. Lanjutin hu
266	Nunggu yg seri selanjutnya nih hu
267	Persen tiket nonton hu
268	Niceeeeeeeeeeeee.....
269	ijin pantau suhu
270	titip sendal hehe
271	Gotong sofa..ah..mohon lanjutken suhu..
272	Update hu , mantab
273	Cakep mulus hu
274	keren suhu 
275	ngambil kacang dl buat panengin update....
276	lancrotkan huu, update updatee..
277	ajibbb huuuu
278	Bikin lapak dulu lah, nunggu update
279	Mana lagi hu?
280	Jejakkkkkkk mantab hu
281	Nggak di update lagi hu? 
282	ditunggu hu update an nya :'(
283	Yup more update Hu
284	wajib dipantau nih, izin gelar tiker hu
285	Kemana ini ts yaaa
286	jejak kasus
287	makasih suhu bahannya..
288	Anjayyy gelar tiker dimarii lahhhhhhhh
289	Up suhuu biar cepet update
290	Tempik yang bagus.. thanks hu..
291	Bakal rame nih, ambil teko sama kopi ahh 
292	Bajingan tuh pantat..
293	Ijin gelar tiker hu.Wajib update
294	Akankah ada kelanjutannya???
295	Gila nge grip bgt kayanya gan si meki
296	Kita tunggu lanjutannya om
297	Bening jangan sampe lelas hu
298	Numpang liat yaa.. Dan teruskan updateannya... Hehe
299	TS kabur 
300	Gamger lagi huuuuu
301	cakep mulus panloknya hu, pls update
302	mantap hu lanjutkan
303	Mantap nih ajib
304	Tinggalkan jejak
305	Ntapsssbeeeuut update dong hu 
306	kudu lanjut nih suhu
307	Gelar tenda dulu suhu..
308	nitit nitit ah
309	Mohon bersabar ya genks, lg proses re upload. Wiken ini diupdate. Kemarin dilock krn tdk ada preview.
310	ditunggu updatenya
311	Dituggu suhuuuku
312	bacolan weekend ini adalah panlok mulusnya suhu penyamin 
313	Mulusss hu
314	Nice hu, we want up date, we want update...
315	Ninggalin jejak dlu subuu
316	Duh ngilu, udah di ujung di goyang pelan tu emang merem melek rasanya. Ntap hu !!
317	Simple, liat panlok, auto komen.
318	dabest sih ini
319	Duh ngilu ujungnya diputerÂ² gitu..ditunggu apdetnya suhuuuuu
320	Pink pink pink kombinasi pink veriasi pink
321	Setia menunggu updatenya hahaha
322	Ngikut nongkrong ah, ijin ya hu
323	Muluuuussssss...
324	bisa pink gtu yaa
325	Update huu
326	Update hu.We want more
327	mulus bener kaya mobil baru keluar dari dealer.. lanjutkan gan.. tisu sudah siap menanti
328	Anjay mantep bgt bibir nya kayanya msh rapet bgt, kl udh mau keluar trs di empot gitu tambah ngilu ngilu enak
329	asli demen ane gan.
330	Toketnya donk hu..
331	Mohon dipercepat hu updatenya
332	Makasih lo suhu sudah mau berbagi
333	Manaaaa update nyaaaa
334	CWnya Oke Suhu..
335	waduh mantep bener suhu panlok nya, ditunggu update nya suhu
336	Suatu saat, si panlok lg sekolah di negara tetangga, dan nubie diajak kesitu utk menenangkan hati doi krn si panlok dijodohkan oleh orang tuanya. Betapa nubie kaget, krn si panlok makin semok, sedih ditinggal nubie katanya. Yg ngga makin semok cuma ulekannya aja. Walhasil, inilah video pertama nubie setelah putus. Maunya utk kenang2an nubie yg terakhir sebelum move on. Kenyataannya nubie dan si pnlok ga pernah move on. Kami sudah sama2 kepatil dalam kenikmatan ragawi ini....
337	mantapbener suhu sepongannya
338	Terima kasih suhu 
339	Sikat terus om
340	wuih mantab suhu.. come back nih... vintage video hehe... 
341	Mantap gan, biar binor yg penting msh bs ditunggangin 
342	Mantab hu updatenya
343	Mntap Suhuku, 
344	mantap hu...
345	Nah ini dia 
346	Mantap suhu
347	suhu pala ane pusing neh
348	kok jleb yak huu nubi bacanyaa...
349	Next update creampi ya hu
350	Suhu ini panloknya mulus banget, biar ga jodoh tapi jatah malem tetep suhu mantaap
351	ga kebayang hu kalo jadi wife ente, ane udah pasang seat permanent hu buat trit ente, semangaat update nya
352	ntapz banget suhuu... durasi panjang dan bikin crots
353	Anjiiiirrrr
354	Anjay hu, mantap. Sembah ndlosor hu.
355	Updatenya kokooo
356	dahsyat... hampir terjadi kehamilan yg tak di inginkan wkkwwkkw
357	Update selanjutnya request public fucking ya Suhuku. Deg2an gimana gitu. Hehehe
358	indah gan....mantap
359	wwwowwmeki nya PINK
360	hoki banget pny panlok binor mantan pula,,,nte keren hu,,mana toket bagus meki imut gt lg,,haafyuuhh
361	ayo suhu diupdate yg ke 3
362	thanks suhuu sharingnya.. yahud om dilNjut lagi om koleksinya..
363	lanjutkan terus suhu
364	Mantabbb ini, bisa sampe ceweknya nikah jugak masih bs dapet jatah ini
365	Mantap banget huuu!!! Akirnya update juga.. suka ane videonua
366	mantap banget tuh suhu .... bener2 mantappppppppp... pengen deh bisa ikutan wkwkwkwkwk
367	Woooooow 10 menit,
368	Harap bersabar Om dilock gara tukang report padahal tinggal coli doang
369	terimakasih susah berbagi kisah nya suhu 
370	boleh daptar trisem gak neeehh...??
371	Selamat siang suhu 
372	Update hu yg creampie dung
373	Ninggalin jejak thread juaraaaa.
374	saya ikutin ceritanya hu, nampaknya begitu ganas panlok suhu ini
375	gila video terbaik! kualitas dan kelengkapan proses 10 jemppoollll
376	Mantep bener update annya. Udah kaya bokep profesional aja nih
377	keren gaaaannn ane suka
378	Wkwkwkwkkkk kenikmatan ragawi 
379	mantap hu updatenya, lanjut please......
380	Mantapp gass teross om
381	mangstap suhu... udah semok muyus lagi...
382	mantap suhu, salam hormat
383	Mantap bngt suhu
384	Mantap bngt suhu
385	ampun hu. mantap benar videonya. makasih hu
386	SO GOOODS ya
387	Izin pantau hu wot emg debeess
388	wiiihh durasi panjang...top markotop suhu
389	Panlok mah da best, ntappz huu
390	Koleksi lain nya ditunggu banget suhu 
391	kereeeen om,
392	Mantapppp djiwaaaa
393	lagi dong hu 
394	Update lagi suhu.
395	Selamat datang di forum 46 hu. Semoga betah disini ya.
396	Update hu
397	wah video jadul nih ane da pernah liat dulu bngt
398	Mantap suhu.... ijin meramaikn suhu... salam kenal
399	Mantap suhu.... ijin meramaikn suhu... salam kenal
400	Tetap update ya hu. Dimohon jangan ada PK ya suhu semua. Ini calon thread bagus!
401	Mulus banget itu bodi.. ngiler deh 
402	nunggu updateannya hu
403	Ditunggu updatenya hu
404	Binornya grade A nih suhu...manteb bener dah
405	lanjutt update lagi Hu
406	Kudu update nih hu 
407	Mantap suhu, lanjutkaaaan....
408	Mantap hu, panlok high quality nih 
409	Berkelas nih thread 
410	Nunggu full body
411	Huuu lanjutin lg huuu
412	Gila ajib banget ini bang videonya
413	Trit bagus nih hu bintang limaa
414	Durasi dan isinya mantab
415	Gils terajib nih trit
416	Itu enak banget kayaknya 
417	Ayo hu update versi creampie
418	enaknya mantan saat dia dah jadi BINOR.. 
419	Toooppsss lanjuuutt gaann .Kali ada update nya lagii . Hehehe
420	ini sih patilan lele dumbo gan, semok bgt
421	Ditunggu bossku
422	tq hu sudah berbaik hati berbagi bahan coli.
423	Mantappp bener hu..
424	ulalaaaa~
425	ulalaaaa~
426	bagus ini hu, bodinya manteb bener
427	sbg murid yg baik, kt nurut sm suhu..biar cpt di update...
428	Mantap coy
429	Masih ditunggu suhu kelanjutannya
430	Ijin sedot hu
431	Ijin sedot hu
432	Wakib update terus suhu...
433	Gelar tiker nunggu apdet CIM or CIF nya brader 
434	Mantap.. top lah..
435	Gilingan...mantafff Suhu...dr TTM sampe Binor...gpp Hu yg penting Cece masih enak meki nya....lebih mantap lagi Hu MOT and doggynya ditunggu Suhu...
436	ikut bersedih sekaligus ente loyalis ama cwe lo bro..
437	Kayany 2-3 taun lalu gw pernah ntn deh dr forum sbelah.. Video yg sama en ms gw save.. Ntah ts nya sama apa ngak cmn dr namanya sih mirip.. Kalo sama.. Welcome back bro... Dulu ane pernah pm an sama situ
438	Bagus bener suhu 
439	Mantap jiwa.. cantik panloknya, beruntung sekali
440	Mantab panloknya
441	Kamsiyah om apdetnya 
442	Memek nya masih nyepot bgt yaa kayanya hu apalagi di goyang pas udh diujung hebat ni suhu msh kuat nyabut nya hahaha
443	Update donk hu
444	Ditunggu updatenya suhu.
445	gokil hu, ditunggu update nya yaa
446	I think u luck
447	bening banget gan, mantap
448	Waduh kasian nih binor
449	ayo , suhu ditunggu updateannya
450	Terimakasih sudah berbagi...
451	ditunggu updatan nya lazgi
452	Makasih suhu sudah share, keep update huuu
453	Lancrotkan hu jangan kasih kendor
454	Terbaik memang
455	Ruuaaarr biasaa bening suhuu..
456	Urusan hati memang gak bisa dipaksakan ya suhu. Misuanya cuma bisa dapat raganya, tapi suhu bisa dapat raga sama jiwanya... Emank mantap suhu....
457	mantap suhuu
458	Lanjutkan suhuuu..
459	Mantab hu
460	Sedap ni hu
461	Super sekali hu.... 
462	Update update update update
463	ijin menyimak lebih dalam
464	MANTAP SUHUUUUU
465	Nitipppp sendal
466	nambah huu
467	Nunggu update selanjutnyaa. Mantappp
468	Mantap suhu ijin bangun apartemen
469	Mantappp gannn 
470	Sedappp hu mulussss 
471	Hmmmm...sedap huuu...update lagi hu..jgn biarkan nubitol2 resresan..nunggu ttm nya..
472	luar biasa ttm anda hu, perfect bgt, di tunggu update selanjutnya
473	Mau dong huuu , siapa tau bisa bantu suhu buat muasin si binor
474	Nice, Hu! Semoga banget pantat nya! Gelar tiket dulu ah....
475	TO nya cakep & mulus hu,
476	jejak huuu dabest ini
477	ditunggu suhu update selanjutnya. mantap abissssss 
478	Luar biasa nih ttm.Artis ya hu.. Bening banget .. .
479	Mantap kali itu hu barang sama doi nya pula cantik seperti nya.. 
480	Beningnya suhu
481	Bro...request yg anal training ma anal rape....mantap sekali bisa dapat panlok yg hot & binal gitu. Jdi kasian ma suaminya...semua lobang dah dicicip ma bro 
482	Mantap Hu, lanjutkan 
483	Izin gelar tiker hu threadnya luar biasaaaaa 
484	Izin gelar tiker hu threadnya luar biasaaaaa 
485	Waaaww speecless hu
486	nitip sandal dl ah, wajib disimak
487	ijin meramaikn suhu... salam kenal
488	mantap jiwa, gelar tiker dahklo tread panlok
489	Mantap jiwa suhu
490	Izin memantau hu
491	mantap sangat suhuu
492	Ditunggu kelanjutannya 
493	Keren kebangetan ini mah, joooossss mesti di pantengin terus
494	Penasaran banget sama face nya nih suhu hahahhaa
495	Rencana update lg suhu?
496	Wajib di lanjutkan
497	Ditunggu update berikitnya suhu
498	Ini nama ny gagal yg bawa berkah suhu...lanjuttt
499	*bangunrumah* 
500	Sebelum bln puasa,moga ada yg WOW 
501	Barang pink pink
502	Dtunggu edisi creampienya hu
503	Mantab hu
504	Weuw mantap. Lanjutkan hu...
505	Lanjot huu
506	njiirrr mulus beut
507	Mantep banget hu
508	Ditunggu updatenya lagi suhu,,
509	udah nambah 10 halaman neh suhu...update lg dong
510	update dunk gm
511	Mantap gas trus biar crot rame
512	makasih bnyk suhu ijin sedott yah
513	Landzutkan bosss kuu
514	Wahh keren suhuu
515	mantap hu.. lanjutkan..
516	ditunggu lanjutannya hu
517	mantap suhuuuu
518	Saban pagi, doi seneng banget nganter jemput anak sekolah ... pas kebetulan ga jauh dr apartemen ente.
519	joss gandoss subes
520	Binor ente juara huuuu
521	Kalau judulnya pacaran, artinya ini jaman kita masih backstreet selama 6 tahunan sebelum doi dijodohin sama ortunya.
522	Wow...udah update lgi...mantappp master 
523	Nice update suhu 
524	Kisah sedih TTM: 
525	Kisah nya sedih suhu, tapi gamger nya justru bikin 
526	Weewwww kerenn
527	Tambah semok setelah jd binor haha
528	Joni atas mewek krn sedih
529	Walaupun tetep bisa nikmatin ewean sama sinmantan tersayang tp tetep ya hati mah sedih. Mudah2an suhu bisa cepet move on & dapet pasangan yg bisa gantiin doi.
530	mantap suhu... dulu pake video si TTM ini buat fap fap
531	Tambah terus huu
532	Wah updatenya mantab
533	Yg ngequote tolong dihapus quotationnya. Saya kasih waktu 1 hari buat ngapus quotationnya. T
534	Yah kan ada yg main quote
535	Tolong quotenya di hapus bos biar ga ditutup nih 
536	Maaf om, saya terlalu bersemangat
537	Terima kasih atas kerjasamanya. Silahkan pm request (tanpa muka), ataupun komen, kasih like disyukuri, dikasih ijo2 diterimakasihkan. Tapi pls jgn quote / PK ya genks.
538	akhirnya ada apdet baru lanjutkan hu ane selalu setia menanti apdet2 lainnya
539	ajib banget suhu moga dilanjut
540	Selamat malam suhu penyamin. Turut meramaikan kembali. Betapa bodohnya nubi sampe ketinggalan gamger yg durasi 10 menitan. Ijin menonton suhu.
541	Mantapp suhuu... mantap videonya.Kl bs update lg suhu...
542	pas banget lagu terakhirnya :v
543	gila suhu terima kasih update nya
544	Mntap bener Suhu, 
545	Request DS pov dari samping suhu
546	Gpp om yang penting waktu jadi gf sampai berubah jadi TTM dan TO dijodohin si om dah puas banget ngecrotin hehehe...
547	Yang penting suka sama suka tanpa bayar hu... kadang ga bisa memiliki seutuhnya tapi sebagian aja boleh lah...
548	memek panlok memang gurih ya om 
549	gelar terpal dulu
550	Binorrr memang gak ada matinyyy...
551	Patut Di lestarikan hu.. keep up hehehe
552	Bagus bgt nih thread, lancrotkan terussss
553	Thread Epic versi panlok ini
554	Wagelaseeeeeh
555	wah mantap suhu, tolong dilanjut lagi untuk analnya
556	mantaapp bangeett suhuu updatenya ..ditunggu yg durasi panjang
557	Satu yg plg ane sukain dr trit ini yakni selalu ditunjukin smp crot. Totalitas bro sharenya, ane ucapin ribuan trmksh.
558	Mantap,,,, hrus ikutin trus nh tread..
559	Thanks buat updatenya om
560	Updatenya luar biasa Hu 
561	Mantab hu
562	nunggu kejutannya suhu. mantaap bener bodynya
563	seger hu..lanjut lah
564	Tengkyu sajiannya om 
565	ini baru yg ditunggu2
566	Update terus hu materinya mantap
567	Mantap hu ditunggu creampie di dalam ya
568	Wanjayy thread super nih wajib ane pantau izin pantau suhu 
569	mantap suhu..lancrotkan...
570	Makasih banyak hu, mudah2an selalu dimudahkan untuk berkarya terus 
571	Gak kuat liat body sama suaranya duh, beruntung banget suhu ....
572	lanjut terus suhu
573	Gelar tikar hu
574	Sedih dengar kisahnya,
